tick,scenario,value
0,llm_on,0.0
1,llm_on,0.0
2,llm_on,0.0
3,llm_on,0.0
4,llm_on,0.0
5,llm_on,0.0
6,llm_on,0.0
7,llm_on,0.0
8,llm_on,0.0
9,llm_on,0.0
10,llm_on,0.0
11,llm_on,0.0
12,llm_on,0.0
13,llm_on,0.0
14,llm_on,0.0
15,llm_on,0.0
16,llm_on,0.0
17,llm_on,0.0
18,llm_on,0.0
19,llm_on,0.0
20,llm_on,0.0
21,llm_on,0.0
22,llm_on,0.0
23,llm_on,0.0
24,llm_on,0.0
25,llm_on,0.0
26,llm_on,0.0
27,llm_on,0.0
28,llm_on,0.0
29,llm_on,0.0
30,llm_on,0.0
31,llm_on,0.0
32,llm_on,0.0
33,llm_on,0.0
34,llm_on,0.0
35,llm_on,0.0
36,llm_on,0.0
37,llm_on,0.0
38,llm_on,0.0
39,llm_on,0.0
40,llm_on,0.0
41,llm_on,0.0
42,llm_on,0.0
43,llm_on,0.0
44,llm_on,0.0
45,llm_on,0.0
46,llm_on,0.0
47,llm_on,0.0
48,llm_on,0.0
49,llm_on,0.0
50,llm_on,0.0
51,llm_on,0.0
52,llm_on,0.0
53,llm_on,0.0
54,llm_on,0.0
55,llm_on,0.0
56,llm_on,0.0
57,llm_on,0.0
58,llm_on,0.0
59,llm_on,0.0
60,llm_on,0.0
61,llm_on,0.0
62,llm_on,0.0
63,llm_on,0.0
64,llm_on,0.0
65,llm_on,0.0
66,llm_on,0.0
67,llm_on,0.0
68,llm_on,0.0
69,llm_on,0.0
70,llm_on,0.0
71,llm_on,0.0
72,llm_on,0.0
73,llm_on,0.0
74,llm_on,0.0
75,llm_on,0.0
76,llm_on,0.0
77,llm_on,0.0
78,llm_on,0.0
79,llm_on,0.0
80,llm_on,0.0
81,llm_on,0.0
82,llm_on,0.0
83,llm_on,0.0
84,llm_on,0.0
85,llm_on,0.0
86,llm_on,0.0
87,llm_on,0.0
88,llm_on,0.0
89,llm_on,0.0
90,llm_on,0.0
91,llm_on,0.0
92,llm_on,0.0
93,llm_on,0.0
94,llm_on,0.0
95,llm_on,0.0
96,llm_on,0.0
97,llm_on,0.0
98,llm_on,0.0
99,llm_on,0.0
100,llm_on,0.0
101,llm_on,0.0
102,llm_on,0.0
103,llm_on,0.0
104,llm_on,0.0
105,llm_on,0.0
106,llm_on,0.0
107,llm_on,0.0
108,llm_on,0.0
109,llm_on,0.0
110,llm_on,0.0
111,llm_on,0.0
112,llm_on,0.0
113,llm_on,0.0
114,llm_on,0.0
115,llm_on,0.0
116,llm_on,0.0
117,llm_on,0.0
118,llm_on,0.0
119,llm_on,0.0
120,llm_on,0.0
121,llm_on,0.0
122,llm_on,0.0
123,llm_on,0.0
124,llm_on,0.0
125,llm_on,0.0
126,llm_on,0.0
127,llm_on,0.0
128,llm_on,0.0
129,llm_on,0.0
130,llm_on,0.0
131,llm_on,0.0
132,llm_on,0.0
133,llm_on,0.0
134,llm_on,0.0
135,llm_on,0.0
136,llm_on,0.0
137,llm_on,0.0
138,llm_on,0.0
139,llm_on,0.0
140,llm_on,0.0
141,llm_on,0.0
142,llm_on,0.0
143,llm_on,0.0
144,llm_on,0.0
145,llm_on,0.0
146,llm_on,0.0
147,llm_on,0.0
148,llm_on,0.0
149,llm_on,0.0
150,llm_on,0.0
151,llm_on,0.0
152,llm_on,0.0
153,llm_on,0.0
154,llm_on,0.0
155,llm_on,0.0
156,llm_on,0.0
157,llm_on,0.0
158,llm_on,0.0
159,llm_on,0.0
160,llm_on,0.0
161,llm_on,0.0
162,llm_on,0.0
163,llm_on,0.0
164,llm_on,0.0
165,llm_on,0.0
166,llm_on,0.0
167,llm_on,0.0
168,llm_on,0.0
169,llm_on,0.0
170,llm_on,0.0
171,llm_on,0.0
172,llm_on,0.0
173,llm_on,0.0
174,llm_on,0.0
175,llm_on,0.0
176,llm_on,0.0
177,llm_on,0.0
178,llm_on,0.0
179,llm_on,0.0
180,llm_on,0.0
181,llm_on,0.0
182,llm_on,0.0
183,llm_on,0.0
184,llm_on,0.0
185,llm_on,0.0
186,llm_on,0.0
187,llm_on,0.0
188,llm_on,0.0
189,llm_on,0.0
190,llm_on,0.0
191,llm_on,0.0
192,llm_on,0.0
193,llm_on,0.0
194,llm_on,0.0
195,llm_on,0.0
196,llm_on,0.0
197,llm_on,0.0
198,llm_on,0.0
199,llm_on,0.0
200,llm_on,0.0
201,llm_on,0.0
202,llm_on,0.0
203,llm_on,0.0
204,llm_on,0.0
205,llm_on,0.0
206,llm_on,0.0
207,llm_on,0.0
208,llm_on,0.0
209,llm_on,0.0
210,llm_on,0.0
211,llm_on,0.0
212,llm_on,0.0
213,llm_on,0.0
214,llm_on,0.0
215,llm_on,0.0
216,llm_on,0.0
217,llm_on,0.0
218,llm_on,0.0
219,llm_on,0.0
220,llm_on,0.0
221,llm_on,0.0
222,llm_on,0.0
223,llm_on,0.0
224,llm_on,0.0
225,llm_on,0.0
226,llm_on,0.0
227,llm_on,0.0
228,llm_on,0.0
229,llm_on,0.0
230,llm_on,0.0
231,llm_on,0.0
232,llm_on,0.0
233,llm_on,0.0
234,llm_on,0.0
235,llm_on,0.0
236,llm_on,0.0
237,llm_on,0.0
238,llm_on,0.0
239,llm_on,0.0
240,llm_on,0.0
241,llm_on,0.0
242,llm_on,0.0
243,llm_on,0.0
244,llm_on,0.0
245,llm_on,0.0
246,llm_on,0.0
247,llm_on,0.0
248,llm_on,0.0
249,llm_on,0.0
0,baseline,0.0
1,baseline,0.0
2,baseline,0.012133458651403908
3,baseline,0.016870695131787378
4,baseline,0.017488511758810683
5,baseline,0.014904241708418548
6,baseline,0.013904289431815355
7,baseline,0.0166347695921965
8,baseline,0.015844358110227913
9,baseline,0.0176804444195698
10,baseline,0.018828364863456737
11,baseline,0.01831067186094301
12,baseline,0.02120738203785454
13,baseline,0.023132646170780383
14,baseline,0.026176748876541044
15,baseline,0.027975260187685914
16,baseline,0.030869729014067326
17,baseline,0.0328899385877915
18,baseline,0.035385348898337936
19,baseline,0.03931705371796798
20,baseline,0.04042015221955846
21,baseline,0.04575197055193784
22,baseline,0.04552330889459951
23,baseline,0.05111199574661867
24,baseline,0.050467898264172466
25,baseline,0.053022523094986736
26,baseline,0.05491613852373284
27,baseline,0.05508533739627201
28,baseline,0.057714669135409936
29,baseline,0.05825248483131301
30,baseline,0.05898723225286241
31,baseline,0.059319892953052726
32,baseline,0.06056235883903082
33,baseline,0.06013170564284204
34,baseline,0.06137791159630246
35,baseline,0.06143376054225828
36,baseline,0.06378603365101156
37,baseline,0.06558539210182752
38,baseline,0.06432461359305394
39,baseline,0.06512233456473263
40,baseline,0.06492071373433021
41,baseline,0.06748586881175772
42,baseline,0.06652826575807003
43,baseline,0.0673531794324739
44,baseline,0.06579763798310834
45,baseline,0.06784430847827556
46,baseline,0.06474585012541605
47,baseline,0.06264297359414711
48,baseline,0.059264191040462606
49,baseline,0.058645301582167894
50,baseline,0.05612061446377254
51,baseline,0.05371073294395822
52,baseline,0.05439711753138393
53,baseline,0.05374023426727254
54,baseline,0.05601860601347035
55,baseline,0.0557531672972699
56,baseline,0.05673846764696688
57,baseline,0.05876437324035149
58,baseline,0.059619643832172296
59,baseline,0.061462065698716394
60,baseline,0.05951577340335073
61,baseline,0.05776200684439673
62,baseline,0.0582473478780216
63,baseline,0.05824957518103397
64,baseline,0.0612605015083982
65,baseline,0.06245895131439559
66,baseline,0.0637200983210219
67,baseline,0.06111086351588334
68,baseline,0.06042661786823439
69,baseline,0.06209222917451575
70,baseline,0.06392061460219464
71,baseline,0.06583419283777327
72,baseline,0.06893042305424645
73,baseline,0.06748127244216844
74,baseline,0.06857840663887027
75,baseline,0.07105431524279592
76,baseline,0.07204386870874858
77,baseline,0.07645944714598754
78,baseline,0.07360755549657373
79,baseline,0.07443640433806067
80,baseline,0.07881182057001794
81,baseline,0.08015996273647694
82,baseline,0.08548521311399686
83,baseline,0.08655294819021084
84,baseline,0.08544267948713664
85,baseline,0.08844728196871711
86,baseline,0.0924505309280181
87,baseline,0.09629737159127735
88,baseline,0.09136143059134405
89,baseline,0.09597493544289656
90,baseline,0.09587765730342453
91,baseline,0.09672873996818343
92,baseline,0.09970940061932711
93,baseline,0.09723114240950319
94,baseline,0.09349820238511508
95,baseline,0.08926796766923778
96,baseline,0.08299732426291806
97,baseline,0.08477986017030387
98,baseline,0.0864840494054781
99,baseline,0.077268470062803
100,baseline,0.08672650253717948
101,baseline,0.07499094694577652
102,baseline,0.07413212381044156
