tick,scenario,value
0,policy_high,0.0
1,policy_high,0.0
2,policy_high,0.0
3,policy_high,0.0
4,policy_high,0.0
5,policy_high,0.0
6,policy_high,0.0
7,policy_high,0.0
8,policy_high,0.0
9,policy_high,0.0
10,policy_high,0.0
11,policy_high,0.0
12,policy_high,0.0
13,policy_high,0.0
14,policy_high,0.0
15,policy_high,0.0
16,policy_high,0.0
17,policy_high,0.0
18,policy_high,0.0
19,policy_high,0.0
20,policy_high,0.0
21,policy_high,0.0
22,policy_high,0.0
23,policy_high,0.0
24,policy_high,0.0
25,policy_high,0.0
26,policy_high,0.0
27,policy_high,0.0
28,policy_high,0.0
29,policy_high,0.0
30,policy_high,0.0
31,policy_high,0.0
32,policy_high,0.0
33,policy_high,0.0
34,policy_high,0.0
35,policy_high,0.0
36,policy_high,0.0
37,policy_high,0.0
38,policy_high,0.0
39,policy_high,0.0
40,policy_high,0.0
41,policy_high,0.0
42,policy_high,0.0
43,policy_high,0.0
44,policy_high,0.0
45,policy_high,0.0
46,policy_high,0.0
47,policy_high,0.0
48,policy_high,0.0
49,policy_high,0.0
50,policy_high,0.0
51,policy_high,0.0
52,policy_high,0.0
53,policy_high,0.0
54,policy_high,0.0
55,policy_high,0.0
56,policy_high,0.0
57,policy_high,0.0
58,policy_high,0.0
59,policy_high,0.0
60,policy_high,0.0
61,policy_high,0.0
62,policy_high,0.0
63,policy_high,0.0
64,policy_high,0.0
65,policy_high,0.0
66,policy_high,0.0
67,policy_high,0.0
68,policy_high,0.0
69,policy_high,0.0
70,policy_high,0.0
71,policy_high,0.0
72,policy_high,0.0
73,policy_high,0.0
74,policy_high,0.0
75,policy_high,0.0
76,policy_high,0.0
77,policy_high,0.0
78,policy_high,0.0
79,policy_high,0.0
80,policy_high,0.0
81,policy_high,0.0
82,policy_high,0.0
83,policy_high,0.0
84,policy_high,0.0
85,policy_high,0.0
86,policy_high,0.0
87,policy_high,0.0
88,policy_high,0.0
89,policy_high,0.0
90,policy_high,0.0
91,policy_high,0.0
92,policy_high,0.0
93,policy_high,0.0
94,policy_high,0.0
95,policy_high,0.0
96,policy_high,0.0
97,policy_high,0.0
98,policy_high,0.0
99,policy_high,0.0
100,policy_high,0.0
101,policy_high,0.0
102,policy_high,0.0
103,policy_high,0.0
104,policy_high,0.0
105,policy_high,0.0
106,policy_high,0.0
107,policy_high,0.0
108,policy_high,0.0
109,policy_high,0.0
110,policy_high,0.0
111,policy_high,0.0
112,policy_high,0.0
113,policy_high,0.0
114,policy_high,0.0
115,policy_high,0.0
116,policy_high,0.0
117,policy_high,0.0
118,policy_high,0.0
119,policy_high,0.0
120,policy_high,0.0
121,policy_high,0.0
122,policy_high,0.0
123,policy_high,0.0
124,policy_high,0.0
125,policy_high,0.0
126,policy_high,0.0
127,policy_high,0.0
128,policy_high,0.0
129,policy_high,0.0
130,policy_high,0.0
131,policy_high,0.0
132,policy_high,0.0
133,policy_high,0.0
134,policy_high,0.0
135,policy_high,0.0
136,policy_high,0.0
137,policy_high,0.0
138,policy_high,0.0
139,policy_high,0.0
140,policy_high,0.0
141,policy_high,0.0
142,policy_high,0.0
143,policy_high,0.0
144,policy_high,0.0
145,policy_high,0.0
146,policy_high,0.0
147,policy_high,0.0
148,policy_high,0.0
149,policy_high,0.0
150,policy_high,0.0
151,policy_high,0.0
152,policy_high,0.0
153,policy_high,0.0
154,policy_high,0.0
155,policy_high,0.0
156,policy_high,0.0
157,policy_high,0.0
158,policy_high,0.0
159,policy_high,0.0
160,policy_high,0.0
161,policy_high,0.0
162,policy_high,0.0
163,policy_high,0.0
164,policy_high,0.0
165,policy_high,0.0
166,policy_high,0.0
167,policy_high,0.0
168,policy_high,0.0
169,policy_high,0.0
170,policy_high,0.0
171,policy_high,0.0
172,policy_high,0.0
173,policy_high,0.0
174,policy_high,0.0
175,policy_high,0.0
176,policy_high,0.0
177,policy_high,0.0
178,policy_high,0.0
179,policy_high,0.0
180,policy_high,0.0
181,policy_high,0.0
182,policy_high,0.0
183,policy_high,0.0
184,policy_high,0.0
185,policy_high,0.0
186,policy_high,0.0
187,policy_high,0.0
188,policy_high,0.0
189,policy_high,0.0
190,policy_high,0.0
191,policy_high,0.0
192,policy_high,0.0
193,policy_high,0.0
194,policy_high,0.0
195,policy_high,0.0
196,policy_high,0.0
197,policy_high,0.0
198,policy_high,0.0
199,policy_high,0.0
200,policy_high,0.0
201,policy_high,0.0
202,policy_high,0.0
203,policy_high,0.0
204,policy_high,0.0
205,policy_high,0.0
206,policy_high,0.0
207,policy_high,0.0
208,policy_high,0.0
209,policy_high,0.0
210,policy_high,0.0
211,policy_high,0.0
212,policy_high,0.0
213,policy_high,0.0
214,policy_high,0.0
215,policy_high,0.0
216,policy_high,0.0
217,policy_high,0.0
218,policy_high,0.0
219,policy_high,0.0
220,policy_high,0.0
221,policy_high,0.0
222,policy_high,0.0
223,policy_high,0.0
224,policy_high,0.0
225,policy_high,0.0
226,policy_high,0.0
227,policy_high,0.0
228,policy_high,0.0
229,policy_high,0.0
230,policy_high,0.0
231,policy_high,0.0
232,policy_high,0.0
233,policy_high,0.0
234,policy_high,0.0
235,policy_high,0.0
236,policy_high,0.0
237,policy_high,0.0
238,policy_high,0.0
239,policy_high,0.0
240,policy_high,0.0
241,policy_high,0.0
242,policy_high,0.0
243,policy_high,0.0
244,policy_high,0.0
245,policy_high,0.0
246,policy_high,0.0
247,policy_high,0.0
248,policy_high,0.0
249,policy_high,0.0
0,baseline,0.0
1,baseline,0.0
2,baseline,0.012133458651403908
3,baseline,0.016870695131787378
4,baseline,0.017488511758810683
5,baseline,0.014904241708418548
6,baseline,0.013904289431815355
7,baseline,0.0166347695921965
8,baseline,0.015844358110227913
9,baseline,0.0176804444195698
10,baseline,0.018828364863456737
11,baseline,0.01831067186094301
12,baseline,0.02120738203785454
