metric,window,value
inflation,120,0.013502894150110509
inflation,160,0.01340738776462835
inflation,200,0.012963563197103765
inflation,240,0.012834167599153573
inflation,280,0.012951129612773896
inflation,320,0.012962077610779055
inflation,360,0.012761259119921783
inflation,400,0.012613310739053848
inflation,500,0.012875836500189778
inflation,750,0.01159343503611985
inflation,1000,0.010436910885730422
price_dispersion,120,40.258960531989345
price_dispersion,160,45.78874527917132
price_dispersion,200,50.419851925102016
price_dispersion,240,54.03634756737063
price_dispersion,280,56.39667637286535
price_dispersion,320,57.87376362378603
price_dispersion,360,58.7096248764401
price_dispersion,400,59.0196110876044
price_dispersion,500,58.78651788653682
price_dispersion,750,55.26251479216961
price_dispersion,1000,50.974347848426135
wage_dispersion,120,54.17680286993805
wage_dispersion,160,69.60510373703758
wage_dispersion,200,83.09781645440819
wage_dispersion,240,88.73540624027689
wage_dispersion,280,91.41928042471694
wage_dispersion,320,92.90796971700439
wage_dispersion,360,92.72175129433728
wage_dispersion,400,92.04523297350812
wage_dispersion,500,90.01404706956266
wage_dispersion,750,82.33883767019367
wage_dispersion,1000,74.99455271422994
avg_spread,120,0.011552861615331983
avg_spread,160,0.01180605012453064
avg_spread,200,0.011950575686974036
avg_spread,240,0.01192785065743054
avg_spread,280,0.011908329040521573
avg_spread,320,0.011941606915841441
avg_spread,360,0.011984899958283278
avg_spread,400,0.012093058306818791
avg_spread,500,0.012432460728315331
avg_spread,750,0.01314908514101868
avg_spread,1000,0.012429278104500249
fill_rate,120,0.2608530143618158
fill_rate,160,0.26398569562444707
fill_rate,200,0.2716236876799224
fill_rate,240,0.27578934992446463
fill_rate,280,0.28164444007338557
fill_rate,320,0.28755603484404435
fill_rate,360,0.2925368394141293
fill_rate,400,0.2965079278871676
fill_rate,500,0.3000278763587511
fill_rate,750,0.2990722487701343
fill_rate,1000,0.32045102006853776
credit_growth,120,2.5177066050853147
credit_growth,160,3.0287228120756935
credit_growth,200,4.8837711346635455
credit_growth,240,6.780561934324284
credit_growth,280,11.271283782306122
credit_growth,320,19.227687275276548
credit_growth,360,22.497185439946254
credit_growth,400,29.277086493391778
credit_growth,500,79.25950379687485
credit_growth,750,456.3832334990004
credit_growth,1000,1.0
credit_growth_per_tick,120,0.011152179782977388
credit_growth_per_tick,160,0.009329561382728736
credit_growth_per_tick,200,0.009447370307072071
credit_growth_per_tick,240,0.009129587896145867
credit_growth_per_tick,280,0.009569186491657259
credit_growth_per_tick,320,0.010057653693115613
credit_growth_per_tick,360,0.009423572354113636
credit_growth_per_tick,400,0.009187283567340072
credit_growth_per_tick,500,0.009506254844342202
credit_growth_per_tick,750,0.008891042973606336
credit_growth_per_tick,1000,0.18205314256988206
