run,time,country,Yprod,Export,Import,nFirm,avWage,nOccupied,avPhi,phiCountry,nBank,publicDeficit,publicDebt,avPrice,bankLoan,bankBonds,cbBonds,netWorthFirm,enteringFirm,exitingFirm,enteringFirmTradable,exitingFirmTradable,enteringBank,exitingBank,netWorthBank,nFirmTradable,nfirmNotTradable,netWorthFirmTradable,avPhiTradable,avPhiNotTradable,avPCTradable,avPCNotTradable,Saving,nCreditLink,averageFirmProfit,adjust,Ysold,Salvatage,badDebt,taxRate,G,creditCapitalInflow,creditCapitalOutflow,creditBondInflow,creditBondOutflow,ExpenditureC,disposableIncomeC,productionSoldValue,changeInventoryValue,inventoryQuantity,rDiscount,loanDemanded,averageInterestRate,inventoryValue,productionQuantity,EnterValue,innovationExpenditure,labPolicy,nWorkerDesired,whichPolicy,HI,profitRate,wageShare,xESum,xESumTradable,innovationExpenditureCorr,probInn,innSuccess,innovationExpenditureWeighted,loanReceived,xProducing,CA,PrivateSaving,diffCreditFlow,diffBondFlow
0,0,0,0,0,0,0,1.0,0,0,1.0,0,200.0,200.0,1.0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,200.00000000000173,0,0,no,0,0,0,0.4,200.0,0,0,0,0,0,200.00000000000176,0,0,0,0.001,0,0,0,0,0,0,no,0,nn,0,0,0,0,0,0,0,0,0,0,0,0,200.00000000000176,0,0
0,0,1,0,0,0,0,1.0,0,0,1.0,0,200.0,200.0,1.0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,200.00000000000173,0,0,no,0,0,0,0.4,200.0,0,0,0,0,0,200.00000000000176,0,0,0,0.001,0,0,0,0,0,0,no,0,nn,0,0,0,0,0,0,0,0,0,0,0,0,200.00000000000176,0,0
0,0,2,0,0,0,0,1.0,0,0,1.0,0,200.0,200.0,1.0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,200.00000000000173,0,0,no,0,0,0,0.4,200.0,0,0,0,0,0,200.00000000000176,0,0,0,0.001,0,0,0,0,0,0,no,0,nn,0,0,0,0,0,0,0,0,0,0,0,0,200.00000000000176,0,0
0,0,3,0,0,0,0,1.0,0,0,1.0,0,200.0,200.0,1.0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,200.00000000000173,0,0,no,0,0,0,0.4,200.0,0,0,0,0,0,200.00000000000176,0,0,0,0.001,0,0,0,0,0,0,no,0,nn,0,0,0,0,0,0,0,0,0,0,0,0,200.00000000000176,0,0
0,0,4,0,0,0,0,1.0,0,0,1.0,0,200.0,200.0,1.0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,200.00000000000173,0,0,no,0,0,0,0.4,200.0,0,0,0,0,0,200.00000000000176,0,0,0,0.001,0,0,0,0,0,0,no,0,nn,0,0,0,0,0,0,0,0,0,0,0,0,200.00000000000176,0,0
0,1,0,0,0,0,0,1.0,0,0,1.0,0,200.0,400.0,1.0,0,0,400.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,200.00000000000176,0,0,no,0,0,0,0.4,200.0,0,0,0,0,0,200.00000000000176,0,0,0,0.001,0,0,0,0,0,0,no,0,nn,0,0,0,0,0,0,0,0,0,0,0,0,200.00000000000176,0,0
0,1,1,0,0,0,0,1.0,0,0,1.0,0,200.0,400.0,1.0,0,0,400.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,200.00000000000176,0,0,no,0,0,0,0.4,200.0,0,0,0,0,0,200.00000000000176,0,0,0,0.001,0,0,0,0,0,0,no,0,nn,0,0,0,0,0,0,0,0,0,0,0,0,200.00000000000176,0,0
0,1,2,0,0,0,0,1.0,0,0,1.0,0,200.0,400.0,1.0,0,0,400.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,200.00000000000176,0,0,no,0,0,0,0.4,200.0,0,0,0,0,0,200.00000000000176,0,0,0,0.001,0,0,0,0,0,0,no,0,nn,0,0,0,0,0,0,0,0,0,0,0,0,200.00000000000176,0,0
0,1,3,0,0,0,0,1.0,0,0,1.0,0,200.0,400.0,1.0,0,0,400.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,200.00000000000176,0,0,no,0,0,0,0.4,200.0,0,0,0,0,0,200.00000000000176,0,0,0,0.001,0,0,0,0,0,0,no,0,nn,0,0,0,0,0,0,0,0,0,0,0,0,200.00000000000176,0,0
0,1,4,0,0,0,0,1.0,0,0,1.0,0,200.0,400.0,1.0,0,0,400.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,200.00000000000176,0,0,no,0,0,0,0.4,200.0,0,0,0,0,0,200.00000000000176,0,0,0,0.001,0,0,0,0,0,0,no,0,nn,0,0,0,0,0,0,0,0,0,0,0,0,200.00000000000176,0,0
